 lorenz attractor:
 -8.587762833 -8.343811989 27.453901291
 -8.581664085 -8.334676743 27.450012207
 -8.575489044 -8.325639725 27.445825577
 -8.569242477 -8.316706657 27.441345215
 -8.562929153 -8.307883263 27.436573029
 -8.556552887 -8.299175262 27.431512833
 -8.550118446 -8.290588379 27.426166534
 -8.543630600 -8.282127380 27.420539856
 -8.537093163 -8.273798943 27.414634705
 -8.530510902 -8.265607834 27.408456802
 -8.523888588 -8.257558823 27.402008057
 -8.517230034 -8.249657631 27.395294189
 -8.510540962 -8.241909981 27.388319016
 -8.503825188 -8.234319687 27.381088257
 -8.497087479 -8.226891518 27.373605728
 -8.490332603 -8.219630241 27.365877151
 -8.483565331 -8.212540627 27.357906342
 -8.476789474 -8.205627441 27.349699020
 -8.470010757 -8.198894501 27.341260910
 -8.463232994 -8.192345619 27.332597733
 -8.456460953 -8.185985565 27.323715210
 -8.449699402 -8.179818153 27.314619064
 -8.442952156 -8.173847198 27.305315018
 -8.436224937 -8.168075562 27.295808792
 -8.429521561 -8.162507057 27.286106110
 -8.422845840 -8.157145500 27.276214600
 -8.416203499 -8.151993752 27.266139984
 -8.409598351 -8.147054672 27.255887985
 -8.403035164 -8.142331123 27.245466232
 -8.396517754 -8.137825966 27.234880447
 -8.390050888 -8.133542061 27.224138260
 -8.383638382 -8.129482269 27.213245392
 -8.377284050 -8.125648499 27.202209473
 -8.370993614 -8.122042656 27.191038132
 -8.364769936 -8.118666649 27.179738998
 -8.358617783 -8.115523338 27.168317795
 -8.352540016 -8.112613678 27.156782150
 -8.346541405 -8.109939575 27.145139694
 -8.340626717 -8.107502937 27.133396149
 -8.334798813 -8.105303764 27.121561050
 -8.329061508 -8.103344917 27.109640121
 -8.323418617 -8.101626396 27.097642899
 -8.317873955 -8.100149155 27.085575104
 -8.312430382 -8.098914146 27.073444366
 -8.307092667 -8.097921371 27.061258316
 -8.301863670 -8.097171783 27.049024582
 -8.296746254 -8.096666336 27.036752701
 -8.291744232 -8.096404076 27.024448395
 -8.286860466 -8.096385956 27.012119293
 -8.282098770 -8.096611023 26.999773026
 -8.277462006 -8.097079277 26.987417221
 -8.272952080 -8.097790718 26.975059509
 -8.268572807 -8.098744392 26.962707520
 -8.264327049 -8.099940300 26.950368881
 -8.260217667 -8.101376534 26.938051224
 -8.256246567 -8.103053093 26.925762177
 -8.252416611 -8.104968071 26.913509369
 -8.248730659 -8.107121468 26.901300430
 -8.245190620 -8.109510422 26.889142990
 -8.241798401 -8.112134933 26.877042770
 -8.238556862 -8.114992142 26.865009308
 -8.235467911 -8.118081093 26.853048325
 -8.232533455 -8.121399879 26.841169357
 -8.229755402 -8.124946594 26.829378128
 -8.227134705 -8.128719330 26.817682266
 -8.224674225 -8.132715225 26.806087494
 -8.222374916 -8.136932373 26.794603348
 -8.220238686 -8.141367912 26.783235550
 -8.218266487 -8.146019936 26.771989822
 -8.216460228 -8.150885582 26.760875702
 -8.214820862 -8.155961037 26.749898911
 -8.213349342 -8.161244392 26.739065170
 -8.212046623 -8.166732788 26.728382111
 -8.210913658 -8.172422409 26.717857361
 -8.209951401 -8.178310394 26.707496643
 -8.209160805 -8.184392929 26.697305679
 -8.208541870 -8.190667152 26.687290192
 -8.208094597 -8.197129250 26.677457809
 -8.207820892 -8.203775406 26.667814255
 -8.207719803 -8.210601807 26.658367157
 -8.207792282 -8.217604637 26.649120331
 -8.208037376 -8.224780083 26.640081406
 -8.208456039 -8.232123375 26.631254196
 -8.209047318 -8.239631653 26.622644424
 -8.209812164 -8.247299194 26.614259720
 -8.210749626 -8.255122185 26.606103897
 -8.211858749 -8.263096809 26.598180771
 -8.213139534 -8.271218300 26.590497971
 -8.214591980 -8.279480934 26.583059311
 -8.216214180 -8.287880898 26.575870514
 -8.218006134 -8.296413422 26.568935394
 -8.219965935 -8.305073738 26.562259674
 -8.222093582 -8.313856125 26.555847168
 -8.224388123 -8.322756767 26.549701691
 -8.226847649 -8.331768990 26.543827057
 -8.229470253 -8.340888977 26.538228989
 -8.232255936 -8.350111008 26.532909393
 -8.235202789 -8.359429359 26.527873993
 -8.238308907 -8.368839264 26.523124695
 -8.241572380 -8.378334999 26.518667221
 -8.244991302 -8.387910843 26.514503479
 -8.248564720 -8.397561073 26.510635376
 -8.252289772 -8.407279968 26.507066727
 -8.256164551 -8.417061806 26.503801346
 -8.260187149 -8.426900864 26.500841141
 -8.264354706 -8.436792374 26.498188019
 -8.268665314 -8.446728706 26.495845795
 -8.273117065 -8.456705093 26.493814468
 -8.277707100 -8.466715813 26.492097855
 -8.282432556 -8.476754189 26.490695953
 -8.287290573 -8.486814499 26.489612579
 -8.292278290 -8.496890068 26.488847733
 -8.297393799 -8.506975174 26.488401413
 -8.302633286 -8.517063141 26.488275528
 -8.307993889 -8.527148247 26.488471985
 -8.313472748 -8.537224770 26.488990784
 -8.319067001 -8.547286034 26.489831924
 -8.324772835 -8.557325363 26.490997314
 -8.330586433 -8.567337036 26.492485046
 -8.336504936 -8.577315331 26.494295120
 -8.342525482 -8.587252617 26.496429443
 -8.348643303 -8.597143173 26.498884201
 -8.354855537 -8.606981277 26.501661301
 -8.361158371 -8.616760254 26.504758835
 -8.367547989 -8.626473427 26.508174896
 -8.374021530 -8.636114120 26.511909485
 -8.380574226 -8.645677567 26.515960693
 -8.387202263 -8.655156136 26.520326614
 -8.393900871 -8.664544106 26.525005341
 -8.400667191 -8.673834801 26.529994965
 -8.407496452 -8.683022499 26.535293579
 -8.414384842 -8.692101479 26.540897369
