 lorenz attractor:
 -8.639223099 -8.891325951 26.85614777
 -8.645525932 -8.893802643 26.86914253
 -8.651732445 -8.896010399 26.88224411
 -8.657839775 -8.897946358 26.89544296
 -8.663842201 -8.899609566 26.90873337
 -8.669736862 -8.900997162 26.92210388
 -8.675518036 -8.902107239 26.93554688
 -8.681182861 -8.902938843 26.94905281
 -8.686726570 -8.903490067 26.96261215
 -8.692145348 -8.903759956 26.97621727
 -8.697435379 -8.903747559 26.98985863
 -8.702592850 -8.903451920 27.00352478
 -8.707613945 -8.902873039 27.01721001
 -8.712495804 -8.902009964 27.03090286
 -8.717233658 -8.900862694 27.04459381
 -8.721824646 -8.899432182 27.05827332
 -8.726264954 -8.897717476 27.07193375
 -8.730551720 -8.895719528 27.08556366
 -8.734681129 -8.893439293 27.09915543
 -8.738650322 -8.890876770 27.11269760
 -8.742456436 -8.888033867 27.12618256
 -8.746095657 -8.884912491 27.13959885
 -8.749566078 -8.881512642 27.15293884
 -8.752864838 -8.877837181 27.16619301
 -8.755989075 -8.873888016 27.17935181
 -8.758936882 -8.869667053 27.19240570
 -8.761705399 -8.865177155 27.20534515
 -8.764291763 -8.860420227 27.21816063
 -8.766695023 -8.855400085 27.23084450
 -8.768912315 -8.850118637 27.24338722
 -8.770942688 -8.844579697 27.25577927
 -8.772783279 -8.838787079 27.26801300
 -8.774433136 -8.832743645 27.28007889
 -8.775891304 -8.826454163 27.29196739
 -8.777154922 -8.819922447 27.30367088
 -8.778223991 -8.813152313 27.31518173
 -8.779097557 -8.806148529 27.32649040
 -8.779773712 -8.798914909 27.33758926
 -8.780252457 -8.791457176 27.34847069
 -8.780532837 -8.783780098 27.35912514
 -8.780613899 -8.775888443 27.36954689
 -8.780495644 -8.767787933 27.37972832
 -8.780178070 -8.759484291 27.38965988
 -8.779661179 -8.750983238 27.39933586
 -8.778944016 -8.742289543 27.40875053
 -8.778027534 -8.733409882 27.41789627
 -8.776911736 -8.724350929 27.42676544
 -8.775597572 -8.715118408 27.43535233
 -8.774085999 -8.705718040 27.44365120
 -8.772377014 -8.696157455 27.45165443
 -8.770471573 -8.686442375 27.45935822
 -8.768370628 -8.676580429 27.46675682
 -8.766076088 -8.666578293 27.47384453
 -8.763588905 -8.656442642 27.48061562
 -8.760910034 -8.646181107 27.48706436
 -8.758041382 -8.635800362 27.49318886
 -8.754985809 -8.625307083 27.49898338
 -8.751744270 -8.614709854 27.50444221
